"dat","z","opn","mx","mn","clo","vol"
"20150721","",33.2125015258789,33.2299995422363,32.5800018310547,32.6875,307025600
"20150722","",30.4974994659424,31.375,30.4974994659424,31.3050003051758,461802400
"20150723","",31.5499992370605,31.7724990844727,31.2649993896484,31.2900009155273,203998000
"20150724","",31.3299999237061,31.4349994659424,30.9750003814697,31.125,168649200
"20150727","",30.7724990844727,30.9025001525879,30.5300006866455,30.6924991607666,177822000
"20150728","",30.8449993133545,30.9775009155273,30.6375007629395,30.8449993133545,134472400
"20150729","",30.7875003814697,30.875,30.5674991607666,30.7474994659424,148046800
"20150730","",30.5799999237061,30.6424999237061,30.4274997711182,30.5925006866455,134513200
"20150731","",30.6499996185303,30.6599998474121,30.2275009155273,30.3250007629395,171540000
"20150803","",30.375,30.6424999237061,29.3799991607666,29.6100006103516,279904000
"20150804","",29.3549995422363,29.4249992370605,28.3125,28.6599998474121,496554400
"20150805","",28.2374992370605,29.3600006103516,28.0249996185303,28.8500003814697,397250400
"20150806","",28.9925003051758,29.125,28.5300006866455,28.7824993133545,211612000
"20150807","",28.6450004577637,29.0625,28.625,28.8799991607666,154681600
"20150810","",29.1324996948242,29.9974994659424,29.1324996948242,29.9300003051758,219806400
"20150811","",29.4524993896484,29.5450000762939,28.3325004577637,28.3724994659424,388331200
"20150812","",28.1324996948242,28.8549995422363,27.4074993133545,28.8099994659424,404870000
"20150813","",29.0100002288818,29.1000003814697,28.6350002288818,28.7875003814697,194143200
"20150814","",28.5799999237061,29.0774993896484,28.5025005340576,28.9899997711182,171718000
"20150817","",29.0100002288818,29.4125003814697,28.875,29.2900009155273,163538800
"20150818","",29.1075000762939,29.3600006103516,29.0025005340576,29.125,138242800
"20150819","",29.0249996185303,29.1299991607666,28.6700000762939,28.7525005340576,193146000
"20150820","",28.5200004577637,28.5874996185303,27.9074993133545,28.1625003814697,274006400
"20150821","",27.6075000762939,27.9750003814697,26.4125003814697,26.4400005340576,513102000
"20150824","",23.7175006866455,27.2000007629395,23,25.7800006866455,648825200
"20150825","",27.7775001525879,27.7775001525879,25.875,25.9349994659424,414406400
"20150826","",26.7724990844727,27.4724998474121,26.2625007629395,27.4225006103516,387098400
"20150827","",28.0575008392334,28.3099994659424,27.5049991607666,28.2299995422363,338464400
"20150828","",28.0424995422363,28.3274993896484,27.8850002288818,28.3225002288818,212657600
"20150831","",28.0074996948242,28.6324996948242,28,28.1900005340576,224917200
"20150901","",27.5375003814697,27.9699993133545,26.8400001525879,26.9300003051758,307383600
"20150902","",27.5575008392334,28.0849990844727,27.2824993133545,28.0849990844727,247555200
"20150903","",28.1224994659424,28.1949996948242,27.5100002288818,27.5925006866455,212935600
"20150904","",27.2425003051758,27.6124992370605,27.1275005340576,27.3174991607666,199985200
"20150908","",27.9375,28.1399993896484,27.5799999237061,28.0774993896484,219374400
"20150909","",28.4400005340576,28.5049991607666,27.4424991607666,27.5375003814697,340043200
"20150910","",27.5674991607666,28.3199996948242,27.4750003814697,28.1424999237061,251571200
"20150911","",27.9475002288818,28.5524997711182,27.9400005340576,28.5524997711182,199662000
"20150914","",29.1450004577637,29.2224998474121,28.7150001525879,28.8274993896484,233453600
"20150915","",28.9825000762939,29.1324996948242,28.6049995422363,29.0699996948242,173364800
"20150916","",29.0625,29.1350002288818,28.8600006103516,29.1025009155273,148694000
"20150917","",28.9150009155273,29.1224994659424,28.4300003051758,28.4799995422363,256450400
"20150918","",28.0524997711182,28.5750007629395,27.9675006866455,28.3624992370605,297141200
"20150921","",28.4174995422363,28.8425006866455,28.4150009155273,28.8024997711182,200888000
"20150922","",28.3449993133545,28.5450000762939,28.1299991607666,28.3500003814697,201384800
"20150923","",28.4074993133545,28.6800003051758,28.3250007629395,28.5799999237061,143026800
"20150924","",28.3125,28.875,28.0925006866455,28.75,200878000
"20150925","",29.1100006103516,29.1725006103516,28.5049991607666,28.6774997711182,224607600
"20150928","",28.4624996185303,28.6424999237061,28.1100006103516,28.1100006103516,208436000
"20150929","",28.2075004577637,28.3775005340576,26.9650001525879,27.2649993896484,293461600
"20150930","",27.5424995422363,27.8850002288818,27.1825008392334,27.5750007629395,265892000
"20151001","",27.2674999237061,27.4050006866455,26.8274993896484,27.3950004577637,255716400
"20151002","",27.0025005340576,27.7525005340576,26.8875007629395,27.5949993133545,232079200
"20151005","",27.4699993133545,27.8425006866455,27.2674999237061,27.6949996948242,208258800
"20151006","",27.6574993133545,27.9349994659424,27.4424991607666,27.8274993896484,192787200
"20151007","",27.9349994659424,27.9424991607666,27.3525009155273,27.6949996948242,187062400
"20151008","",27.5475006103516,27.5475006103516,27.0524997711182,27.375,247918400
"20151009","",27.5,28.0699996948242,27.3724994659424,28.0300006866455,211064400
"20151012","",28.1825008392334,28.1875,27.8600006103516,27.8999996185303,121868800
"20151013","",27.7049999237061,28.1124992370605,27.6700000762939,27.9475002288818,132197200
"20151014","",27.8225002288818,27.8799991607666,27.3899993896484,27.5524997711182,177849600
"20151015","",27.7325000762939,28.0249996185303,27.6224994659424,27.9650001525879,150694000
"20151016","",27.9449996948242,28,27.6324996948242,27.7600002288818,156930400
"20151019","",27.7000007629395,27.9375,27.5275001525879,27.9325008392334,119036800
"20151020","",27.8349990844727,28.5424995422363,27.7049999237061,28.4424991607666,195871200
"20151021","",28.5,28.8950004577637,28.4249992370605,28.4400005340576,167180800
"20151022","",28.5825004577637,28.875,28.5249996185303,28.875,166616400
"20151023","",29.1749992370605,29.8075008392334,29.0825004577637,29.7700004577637,237467600
"20151026","",29.5200004577637,29.5324993133545,28.7299995422363,28.8199996948242,265335200
"20151027","",28.8500003814697,29.1350002288818,28.4974994659424,28.6375007629395,279537600
